epoch,accuracy,loss,val_accuracy,val_loss
0,0.3479103147983551,1.3402512073516846,0.36599424481391907,1.305565357208252
1,0.6313313245773315,1.025766134262085,0.651296854019165,0.9603310823440552
2,0.7882645726203918,0.6026873588562012,0.6829971075057983,0.7889279127120972
3,0.8405756950378418,0.42401158809661865,0.6858789920806885,0.819050133228302
4,0.8776639699935913,0.33531177043914795,0.6829971075057983,0.8157317042350769
5,0.9103238582611084,0.26569709181785583,0.6743515729904175,0.8904777765274048
6,0.9269305467605591,0.21596167981624603,0.6945244669914246,0.9680642485618591
7,0.9374480843544006,0.18556351959705353,0.6829971075057983,0.9700971841812134
8,0.9546083807945251,0.1566440910100937,0.6743515729904175,1.0867021083831787
9,0.9584832787513733,0.13651908934116364,0.6599423885345459,1.1339043378829956
10,0.9659562706947327,0.12009865045547485,0.6657060384750366,1.187374472618103
11,0.9687240719795227,0.10635294765233994,0.6743515729904175,1.2285149097442627
12,0.9698311686515808,0.09908498823642731,0.6714697480201721,1.2617419958114624
13,0.972045361995697,0.09391197562217712,0.6657060384750366,1.3250980377197266
14,0.9739828109741211,0.0897446721792221,0.6657060384750366,1.3854753971099854
15,0.972875714302063,0.08704487234354019,0.6714697480201721,1.352804183959961
16,0.9753667116165161,0.07951395213603973,0.6685879230499268,1.4658706188201904
17,0.9775809645652771,0.07603149861097336,0.6743515729904175,1.4508812427520752
18,0.9759202599525452,0.07737739384174347,0.6743515729904175,1.5044300556182861
19,0.9784113168716431,0.06835725158452988,0.6484149694442749,1.5253983736038208
20,0.9745364189147949,0.0685761421918869,0.6743515729904175,1.4882782697677612
21,0.9773041605949402,0.06221664324402809,0.6714697480201721,1.5507763624191284
22,0.9773041605949402,0.06556730717420578,0.6628242135047913,1.5678765773773193
23,0.9781345129013062,0.063689224421978,0.6714697480201721,1.6194754838943481
24,0.9781345129013062,0.06447021663188934,0.6829971075057983,1.598148226737976
